,,goals,goals,goals,goals,goals,assists,assists,assists,assists,assists,gca,gca,gca,gca,gca,passes,passes,passes,passes,passes,aerials_won_pct,aerials_won_pct,aerials_won_pct,aerials_won_pct,aerials_won_pct,tackles,tackles,tackles,tackles,tackles
,,min,25%,50%,75%,max,min,25%,50%,75%,max,min,25%,50%,75%,max,min,25%,50%,75%,max,min,25%,50%,75%,max,min,25%,50%,75%,max
Benevento,MF,1.0,1.75,2.0,5.0,9.0,0.0,2.0,4.0,5.0,6.0,3.0,5.5,7.0,8.5,10.0,441.0,865.75,1543.5,2054.0,2737.0,24.1,61.625,101.55000000000001,142.125,183.5,14.0,18.0,47.0,96.0,151.0
Bologna,DF,0.0,1.0,2.5,3.0,7.0,0.0,1.0,1.0,2.75,5.0,0.0,2.0,3.0,4.0,11.0,764.0,1123.25,2243.5,3486.0,4442.0,35.3,93.325,177.05,234.8,467.8,20.0,35.5,64.0,92.5,129.0
Bologna,FW,3.0,9.0,15.0,19.5,24.0,4.0,4.5,12.0,15.0,17.0,8.0,11.0,26.0,30.5,34.0,879.0,1167.0,2130.0,2690.0,2887.0,97.9,108.7,120.6,168.7,210.0,20.0,35.5,59.0,78.5,106.0
Bologna,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3834.0,3834.0,3834.0,3834.0,3834.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Bologna,MF,1.0,1.75,3.5,7.5,16.0,1.0,2.0,2.5,6.0,17.0,3.0,4.5,6.5,10.0,39.0,538.0,1197.25,1992.5,2020.0,4273.0,56.5,102.30000000000001,137.25,153.1,183.4,18.0,52.75,92.5,127.0,165.0
Borussia Dortmund,DF,0.0,2.0,3.0,4.0,18.0,0.0,1.0,5.0,8.0,20.0,0.0,4.0,9.0,18.0,39.0,912.0,2332.0,3631.0,6041.0,7407.0,70.0,174.1,192.7,248.0,303.7,19.0,47.0,114.0,139.0,183.0
Borussia Dortmund,FW,3.0,4.0,10.0,20.0,53.0,0.0,5.0,7.0,13.0,27.0,5.0,9.0,15.0,31.0,40.0,301.0,959.0,1172.0,2864.0,3424.0,19.0,31.2,99.5,159.9,164.0,12.0,14.0,37.0,77.0,103.0
Borussia Dortmund,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,769.0,1557.0,2345.0,2543.5,2742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0
Borussia Dortmund,MF,2.0,3.0,6.0,9.0,40.0,0.0,5.0,6.0,8.0,24.0,2.0,13.0,14.0,19.0,70.0,1335.0,2024.0,3424.0,4223.0,5725.0,73.6,114.5,118.7,258.8,370.5,37.0,85.0,118.0,135.0,185.0
Borussia Mönchengladbach,DF,0.0,1.5,4.5,6.0,12.0,0.0,2.0,2.5,4.75,14.0,2.0,3.25,10.5,13.75,21.0,848.0,1728.75,3011.0,3951.0,7316.0,44.4,150.6,184.35,246.07500000000002,278.1,28.0,65.5,92.0,122.5,173.0
Borussia Mönchengladbach,FW,3.0,20.0,23.0,27.0,31.0,2.0,10.0,12.0,16.0,19.0,8.0,30.0,30.0,31.0,37.0,694.0,1343.0,2242.0,2362.0,3745.0,72.2,106.6,137.3,140.7,212.2,50.0,58.0,78.0,104.0,131.0
Borussia Mönchengladbach,GK,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5080.0,5080.0,5080.0,5080.0,5080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Borussia Mönchengladbach,MF,0.0,1.0,2.0,12.5,28.0,0.0,1.5,4.0,10.5,16.0,2.0,4.5,10.0,20.5,41.0,678.0,969.0,3076.0,3163.5,4295.0,30.0,122.75,160.9,183.0,196.3,17.0,45.5,113.0,156.0,179.0
Bournemouth,DF,0.0,0.25,1.0,1.0,2.0,0.0,1.0,1.5,2.0,2.0,0.0,1.0,1.5,3.5,4.0,780.0,919.5,1204.5,1936.5,2765.0,55.0,110.55000000000001,122.19999999999999,127.17500000000001,138.2,21.0,27.0,36.5,58.0,99.0
Bournemouth,FW,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,6.0,530.0,530.0,530.0,530.0,530.0,57.4,57.4,57.4,57.4,57.4,19.0,19.0,19.0,19.0,19.0
Bournemouth,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,350.0,350.0,350.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bournemouth,MF,0.0,1.5,3.0,6.0,8.0,0.0,0.0,1.0,2.5,5.0,0.0,4.0,7.0,7.5,13.0,609.0,904.0,1068.0,1776.0,2944.0,22.5,57.25,93.3,107.19999999999999,139.3,20.0,24.5,41.0,87.0,149.0
Brentford,DF,1.0,1.0,2.0,2.0,4.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,3.0,5.0,455.0,563.0,667.0,762.0,1636.0,24.0,53.1,53.9,66.0,171.0,13.0,16.0,25.0,37.0,61.0
