,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1000,Franck Honorat\db7849ca,fr FRA,FWMF,Brest,fr Ligue 1,25-129,1996,18,18,1536,17.1,5,3,5,0,0,3,0,0.29,0.18,0.47,0.29,0.47,2.9,2.9,4.0,6.9,0.17,0.23,0.40,0.17,0.40,Matches
1001,Justin Hoogma\816192f0,nl NED,DF,Greuther Fürth,de Bundesliga,23-190,1998,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
1002,Sydney van Hooijdonk\5b418e15,nl NED,FWMF,Bologna,it Serie A,21-315,2000,4,0,38,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.11,0.11,0.00,0.11,Matches
1003,Matthew Hoppe\1bc432b7,us USA,FW,Mallorca,es La Liga,20-280,2001,2,1,89,1.0,0,1,0,0,0,0,0,0.00,1.01,1.01,0.00,1.01,0.1,0.1,0.1,0.2,0.08,0.12,0.19,0.08,0.19,Matches
1004,Jannes Horn\2b83fa49,de GER,DF,Köln,de Bundesliga,24-315,1997,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.06,0.00,0.06,0.06,0.06,Matches
1005,Timo Horn\3cd9e95a,de GER,GK,Köln,de Bundesliga,28-220,1993,12,12,1080,12.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
1006,Cédric Hountondji\00891164,bj BEN,DF,Clermont Foot,fr Ligue 1,27-333,1994,13,13,1134,12.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.5,0.04,0.01,0.04,0.04,0.04,Matches
1007,Lukáš Hrádecký\ad3389d5,fi FIN,GK,Leverkusen,de Bundesliga,32-024,1989,16,16,1440,16.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
1008,Branimir Hrgota\710fbdd1,se SWE,FW,Greuther Fürth,de Bundesliga,28-340,1993,16,15,1224,13.6,4,3,1,3,3,2,0,0.29,0.22,0.51,0.07,0.29,4.5,2.3,2.0,4.2,0.33,0.14,0.48,0.17,0.31,Matches
1009,Petko Hristov\d8800a46,bg BUL,DF,Spezia,it Serie A,22-292,1999,13,10,1015,11.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches
1010,Ajdin Hrustic\1f2d714c,au AUS,MF,Eint Frankfurt,de Bundesliga,25-166,1996,8,4,338,3.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.7,0.06,0.12,0.18,0.06,0.18,Matches
1011,Timo Hübers\94302c52,de GER,DF,Köln,de Bundesliga,25-151,1996,4,4,308,3.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.06,0.00,0.06,0.06,0.06,Matches
1012,Callum Hudson-Odoi\15f3ec41,eng ENG,FWMF,Chelsea,eng Premier League,21-041,2000,9,7,596,6.6,1,0,1,0,0,0,0,0.15,0.00,0.15,0.15,0.15,1.2,1.2,2.0,3.2,0.18,0.30,0.48,0.18,0.48,Matches
1013,Will Hughes\a0666d3e,eng ENG,MF,Crystal Palace,eng Premier League,26-245,1995,3,2,173,1.9,0,1,0,0,0,0,0,0.00,0.52,0.52,0.00,0.52,0.0,0.0,0.3,0.3,0.00,0.17,0.17,0.00,0.17,Matches
1014,Mats Hummels\05d548d8,de GER,DF,Dortmund,de Bundesliga,33-002,1988,14,12,1045,11.6,1,1,1,0,0,3,0,0.09,0.09,0.17,0.09,0.17,0.6,0.6,0.1,0.7,0.05,0.01,0.06,0.05,0.06,Matches
1015,Elseid Hysaj\2f3452eb,al ALB,DF,Lazio,it Serie A,27-301,1994,17,17,1397,15.5,1,0,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,0.5,0.5,0.5,1.0,0.03,0.03,0.06,0.03,0.06,Matches
1016,Suk Hyun-jun\7ffaf233,kr KOR,FWMF,Troyes,fr Ligue 1,30-172,1991,9,0,153,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.5,0.9,0.22,0.28,0.50,0.22,0.50,Matches
1017,Pierre Højbjerg\8b04d6c1,dk DEN,MF,Tottenham,eng Premier League,26-135,1995,14,14,1259,14.0,2,1,2,0,0,1,0,0.14,0.07,0.21,0.14,0.21,0.9,0.9,0.8,1.6,0.06,0.05,0.12,0.06,0.12,Matches
1018,Iago\054849d2,br BRA,DF,Augsburg,de Bundesliga,24-270,1997,12,11,946,10.5,0,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,0.7,0.7,1.0,1.8,0.07,0.10,0.17,0.07,0.17,Matches
1019,Robert Ibáñez\c7429db3,es ESP,MF,Osasuna,es La Liga,28-271,1993,4,1,93,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.38,0.16,0.55,0.38,0.55,Matches
1020,Roger Ibanez\82efe6fa,br BRA,DF,Roma,it Serie A,23-025,1998,17,16,1441,16.0,3,0,3,0,0,3,0,0.19,0.00,0.19,0.19,0.19,1.3,1.3,0.3,1.6,0.08,0.02,0.10,0.08,0.10,Matches
1021,Vicente Iborra\ad1ffcfd,es ESP,MF,Villarreal,es La Liga,33-336,1988,4,3,241,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.08,0.00,0.08,0.08,0.08,Matches
1022,Zlatan Ibrahimović\4cde5509,se SWE,FW,Milan,it Serie A,40-076,1981,10,7,615,6.8,7,1,7,0,0,1,0,1.02,0.15,1.17,1.02,1.17,3.9,3.9,0.8,4.7,0.57,0.12,0.69,0.57,0.69,Matches
1023,Mauro Icardi\43b78598,ar ARG,FW,Paris S-G,fr Ligue 1,28-302,1993,14,6,617,6.9,3,0,3,0,0,1,0,0.44,0.00,0.44,0.44,0.44,2.5,2.5,0.3,2.8,0.36,0.05,0.41,0.36,0.41,Matches
1024,Adam Idah\291e3ec3,ie IRL,FW,Norwich City,eng Premier League,20-282,2001,11,1,179,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.4,1.7,0.64,0.22,0.86,0.64,0.86,Matches
1025,Oussama Idrissi\34caa4b3,ma MAR,FWMF,Sevilla,es La Liga,25-295,1996,5,2,127,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.08,0.08,0.16,0.08,0.16,Matches
1026,Iglesias\974322dc,es ESP,DF,Getafe,es La Liga,23-168,1998,10,4,340,3.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,Matches
1027,Borja Iglesias\75645f0e,es ESP,FW,Betis,es La Liga,28-335,1993,13,5,482,5.4,3,0,2,1,1,1,0,0.56,0.00,0.56,0.37,0.37,3.4,2.7,0.8,3.5,0.64,0.15,0.80,0.50,0.65,Matches
1028,Jonathan Iglesias\639ca1cf,uy URU,MF,Clermont Foot,fr Ligue 1,33-001,1988,15,5,579,6.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.01,0.03,0.03,0.01,0.03,Matches
1029,Juan Ignacio Ramírez\ad513a6b,uy URU,FW,Saint-Étienne,fr Ligue 1,24-320,1997,5,1,126,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.06,0.00,0.06,0.06,0.06,Matches
1030,Igor\a4e85758,br BRA,DF,Fiorentina,it Serie A,23-314,1998,10,6,625,6.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.01,0.02,0.01,0.02,Matches
1031,Kelechi Iheanacho\c92e1a31,ng NGA,FWMF,Leicester City,eng Premier League,25-076,1996,12,4,447,5.0,1,2,1,0,0,0,0,0.20,0.40,0.60,0.20,0.60,1.3,1.3,1.3,2.6,0.26,0.26,0.52,0.26,0.52,Matches
1032,Jonathan Ikone\42eaa028,fr FRA,MFFW,Lille,fr Ligue 1,23-230,1998,18,13,1062,11.8,1,0,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,2.3,2.3,2.1,4.4,0.20,0.17,0.37,0.20,0.37,Matches
1033,Ilaix\f4c69aa6,es ESP,MF,RB Leipzig,de Bundesliga,18-333,2003,2,0,32,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.07,0.00,0.07,0.07,0.07,Matches
1034,Ivan Ilić\bb376bed,rs SRB,MF,Hellas Verona,it Serie A,20-276,2001,14,12,997,11.1,1,3,1,0,0,2,0,0.09,0.27,0.36,0.09,0.36,0.9,0.9,1.0,1.9,0.09,0.09,0.17,0.09,0.17,Matches
1035,Josip Iličić\68252d6d,si SVN,FWMF,Atalanta,it Serie A,33-323,1988,16,7,749,8.3,3,3,3,0,1,1,0,0.36,0.36,0.72,0.36,0.72,3.1,2.3,3.2,5.5,0.37,0.38,0.75,0.28,0.66,Matches
1036,Stefan Ilsanker\8494acc4,at AUT,DFMF,Eint Frankfurt,de Bundesliga,32-214,1989,6,2,157,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
1037,Ciro Immobile\4431aed2,it ITA,FW,Lazio,it Serie A,31-301,1990,15,15,1271,14.1,13,2,10,3,4,2,0,0.92,0.14,1.06,0.71,0.85,10.2,7.2,1.2,8.4,0.73,0.08,0.81,0.51,0.59,Matches
1038,Danny Ings\07802f7f,eng ENG,FW,Aston Villa,eng Premier League,29-148,1992,12,10,871,9.7,3,2,2,1,1,1,0,0.31,0.21,0.52,0.21,0.41,2.2,1.5,0.7,2.1,0.23,0.07,0.30,0.15,0.22,Matches
1039,Marcus Ingvartsen\271b8617,dk DEN,MF,Union Berlin,de Bundesliga,25-348,1996,2,2,122,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.05,0.00,0.05,0.05,0.05,Matches
1040,Marcus Ingvartsen\271b8617,dk DEN,FWMF,Mainz 05,de Bundesliga,25-348,1996,12,2,316,3.5,2,0,2,0,0,1,0,0.57,0.00,0.57,0.57,0.57,1.2,1.2,0.4,1.6,0.35,0.11,0.45,0.35,0.45,Matches
1041,Lorenzo Insigne\2f557579,it ITA,FW,Napoli,it Serie A,30-197,1991,15,14,1106,12.3,4,4,0,4,7,0,0,0.33,0.33,0.65,0.00,0.33,8.3,2.8,3.2,6.0,0.68,0.26,0.93,0.23,0.49,Matches
1042,Alexander Isak\8e92be30,se SWE,FW,Real Sociedad,es La Liga,22-088,1999,14,12,955,10.6,3,1,2,1,1,2,0,0.28,0.09,0.38,0.19,0.28,4.0,3.3,1.1,4.3,0.38,0.10,0.48,0.31,0.41,Matches
1043,Isco\a0b4bb3e,es ESP,MF,Real Madrid,es La Liga,29-241,1992,7,2,179,2.0,1,0,1,0,0,1,0,0.50,0.00,0.50,0.50,0.50,0.5,0.5,0.2,0.7,0.25,0.12,0.37,0.25,0.37,Matches
1044,Wilson Isidor\a671316d,fr FRA,FWMF,Monaco,fr Ligue 1,21-113,2000,4,0,50,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.36,0.42,0.78,0.36,0.78,Matches
1045,Ardian Ismajli\6b635f5c,al ALB,DF,Empoli,it Serie A,25-079,1996,10,7,632,7.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches
1046,Hiroki Ito\204dded0,jp JPN,DF,Stuttgart,de Bundesliga,22-220,1999,12,10,896,10.0,1,0,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,0.3,0.3,0.7,1.0,0.03,0.07,0.10,0.03,0.10,Matches
1047,Cedric Itten\ef233486,ch SUI,FW,Greuther Fürth,de Bundesliga,24-356,1996,12,7,635,7.1,2,0,2,0,0,1,0,0.28,0.00,0.28,0.28,0.28,2.7,2.7,0.1,2.8,0.38,0.02,0.40,0.38,0.40,Matches
1048,Gian-Luca Itter\e6c15f6e,de GER,DF,Greuther Fürth,de Bundesliga,22-347,1999,8,3,295,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.02,0.13,0.15,0.02,0.15,Matches
1049,Alex Iwobi\6ca5ec4b,ng NGA,MFFW,Everton,eng Premier League,25-229,1996,13,7,714,7.9,1,1,1,0,0,0,0,0.13,0.13,0.25,0.13,0.25,1.0,1.0,1.1,2.2,0.13,0.14,0.27,0.13,0.27,Matches
1050,Armando Izzo\89976232,it ITA,DF,Torino,it Serie A,29-291,1992,4,1,100,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
1051,Nicolas Jackson\9c36ed83,sn SEN,FW,Villarreal,es La Liga,20-181,2001,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
1052,Lee Jae-sung\34b0387f,kr KOR,MFFW,Mainz 05,de Bundesliga,29-130,1992,14,10,775,8.6,2,2,2,0,0,2,0,0.23,0.23,0.46,0.23,0.46,1.7,1.7,1.1,2.8,0.20,0.13,0.32,0.20,0.32,Matches
1053,Paul Jaeckel\a93b6f4e,de GER,DF,Union Berlin,de Bundesliga,23-149,1998,9,8,775,8.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches
1054,Mato Jajalo\8c65eb5f,ba BIH,MF,Udinese,it Serie A,33-207,1988,7,2,202,2.2,0,1,0,0,0,0,0,0.00,0.45,0.45,0.00,0.45,0.4,0.4,0.1,0.5,0.19,0.03,0.22,0.19,0.22,Matches
1055,Kristijan Jakić\a8ee54ad,hr CRO,MF,Eint Frankfurt,de Bundesliga,24-218,1997,12,11,869,9.7,1,0,1,0,0,3,0,0.10,0.00,0.10,0.10,0.10,1.5,1.5,0.3,1.7,0.15,0.03,0.18,0.15,0.18,Matches
1056,Ismail Jakobs\a0415710,de GER,DF,Monaco,fr Ligue 1,22-123,1999,13,5,549,6.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.8,0.9,0.01,0.13,0.15,0.01,0.15,Matches
1057,Abdel Jalil Medioub\4937a9f7,dz ALG,DF,Bordeaux,fr Ligue 1,24-112,1997,5,1,177,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
1058,Daniel James\c931d9f9,wls WAL,FW,Manchester Utd,eng Premier League,24-038,1997,2,2,126,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.3,0.17,0.01,0.19,0.17,0.19,Matches
1059,Daniel James\c931d9f9,wls WAL,FWMF,Leeds United,eng Premier League,24-038,1997,14,13,1056,11.7,1,1,1,0,0,0,0,0.09,0.09,0.17,0.09,0.17,1.9,1.9,1.1,3.0,0.16,0.09,0.25,0.16,0.25,Matches
1060,Reece James\1265a93a,eng ENG,DF,Chelsea,eng Premier League,22-010,1999,13,11,908,10.1,4,5,4,0,0,4,1,0.40,0.50,0.89,0.40,0.89,1.7,1.7,3.2,4.9,0.16,0.32,0.49,0.16,0.49,Matches
1061,Vitaly Janelt\8449d35e,de GER,MF,Brentford,eng Premier League,23-222,1998,13,12,1005,11.2,1,0,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,1.2,1.2,1.0,2.2,0.10,0.09,0.20,0.10,0.20,Matches
1062,Jakub Jankto\1ea5f91c,cz CZE,MFDF,Getafe,es La Liga,25-333,1996,6,3,260,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.05,0.02,0.06,0.05,0.06,Matches
1063,Pontus Jansson\172e52d8,se SWE,DF,Brentford,eng Premier League,30-308,1991,16,16,1431,15.9,1,1,1,0,0,3,0,0.06,0.06,0.13,0.06,0.13,1.5,1.5,0.4,1.9,0.09,0.03,0.12,0.09,0.12,Matches
1064,Tony Jantschke\34b54da7,de GER,DF,M'Gladbach,de Bundesliga,31-255,1990,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
1065,Adnan Januzaj\4737cebe,be BEL,FWMF,Real Sociedad,es La Liga,26-316,1995,17,9,811,9.0,1,0,0,1,1,3,0,0.11,0.00,0.11,0.00,0.00,1.7,1.0,1.8,2.8,0.19,0.20,0.39,0.11,0.31,Matches
1066,Paweł Jaroszyński\958a601f,pl POL,DF,Salernitana,it Serie A,27-077,1994,10,3,354,3.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.5,0.03,0.09,0.12,0.03,0.12,Matches
1067,Jason\9038c2a1,es ESP,MFDF,Valencia,es La Liga,27-165,1994,5,1,75,0.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.07,0.17,0.24,0.07,0.24,Matches
1068,Dennis Jastrzembski\6bba916f,pl POL,DFFW,Hertha BSC,de Bundesliga,21-301,2000,8,1,225,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.5,0.02,0.19,0.21,0.02,0.21,Matches
1069,Luis Javier Suárez\eeba07f8,co COL,FWMF,Granada,es La Liga,24-016,1997,16,15,1263,14.0,4,0,4,0,1,3,0,0.29,0.00,0.29,0.29,0.29,4.1,3.3,0.7,4.0,0.29,0.05,0.34,0.24,0.29,Matches
1070,Corentin Jean\7d9b37bf,fr FRA,FWMF,Lens,fr Ligue 1,26-156,1995,10,1,169,1.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.6,0.23,0.08,0.31,0.23,0.31,Matches
1071,Jemerson\7cab69b5,br BRA,DF,Metz,fr Ligue 1,29-116,1992,7,7,545,6.1,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.09,0.00,0.09,0.09,0.09,Matches
1072,Fredrik Jensen\3eeb80e0,fi FIN,MFFW,Augsburg,de Bundesliga,24-100,1997,12,2,418,4.6,0,1,0,0,0,0,0,0.00,0.22,0.22,0.00,0.22,0.2,0.2,0.6,0.8,0.05,0.12,0.17,0.05,0.17,Matches
1073,Mathias Jensen\0f134faf,dk DEN,MF,Brentford,eng Premier League,25-351,1996,10,5,523,5.8,0,1,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,0.1,0.1,1.0,1.2,0.02,0.18,0.20,0.02,0.20,Matches
1074,Moritz Jenz\ee644761,de GER,DF,Lorient,fr Ligue 1,22-232,1999,8,8,684,7.6,1,0,1,0,0,3,1,0.13,0.00,0.13,0.13,0.13,0.8,0.8,0.1,0.8,0.10,0.01,0.11,0.10,0.11,Matches
1075,Gabriel Jesus\b66315ae,br BRA,FW,Manchester City,eng Premier League,24-259,1997,14,12,1048,11.6,2,6,2,0,0,0,0,0.17,0.52,0.69,0.17,0.69,4.3,4.3,2.5,6.8,0.37,0.21,0.58,0.37,0.58,Matches
1076,Juan Jesus\79083382,br BRA,DF,Napoli,it Serie A,30-191,1991,7,3,295,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.06,0.02,0.09,0.06,0.09,Matches
1077,Álvaro Jiménez\5f5501ed,es ESP,MFFW,Cádiz,es La Liga,26-213,1995,9,1,234,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.05,0.03,0.08,0.05,0.08,Matches
1078,Raúl Jiménez\b561db50,mx MEX,FW,Wolves,eng Premier League,30-227,1991,16,15,1306,14.5,3,2,3,0,0,5,1,0.21,0.14,0.34,0.21,0.34,3.3,3.3,1.6,4.8,0.22,0.11,0.33,0.22,0.33,Matches
1079,Joaquín\4c5b14d2,es ESP,FWMF,Betis,es La Liga,40-150,1981,8,0,109,1.2,0,1,0,0,0,0,0,0.00,0.83,0.83,0.00,0.83,0.5,0.5,0.7,1.1,0.37,0.56,0.94,0.37,0.94,Matches
1080,Joelinton\c17bfb65,br BRA,MFFW,Newcastle Utd,eng Premier League,25-126,1996,16,11,1033,11.5,1,1,1,0,0,3,0,0.09,0.09,0.17,0.09,0.17,1.3,1.3,0.8,2.1,0.11,0.07,0.18,0.11,0.18,Matches
1081,Marco John\d9e196bf,de GER,DF,Hoffenheim,de Bundesliga,19-260,2002,1,0,39,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
1082,Dennis Johnsen\66784dee,no NOR,FWMF,Venezia,it Serie A,23-304,1998,13,11,918,10.2,0,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,1.0,1.0,1.7,2.8,0.10,0.17,0.27,0.10,0.27,Matches
1083,Ben Johnson\9319781b,eng ENG,DF,West Ham,eng Premier League,21-328,2000,9,8,675,7.5,1,0,1,0,0,0,0,0.13,0.00,0.13,0.13,0.13,0.1,0.1,0.3,0.4,0.01,0.04,0.05,0.01,0.05,Matches
1084,Curtis Jones\4fb9c88f,eng ENG,MF,Liverpool,eng Premier League,20-322,2001,5,3,322,3.6,1,1,1,0,0,0,0,0.28,0.28,0.56,0.28,0.56,0.4,0.4,0.2,0.6,0.12,0.04,0.17,0.12,0.17,Matches
1085,Frenkie de Jong\1bacc518,nl NED,MF,Barcelona,es La Liga,24-220,1997,13,12,1052,11.7,1,2,1,0,0,4,1,0.09,0.17,0.26,0.09,0.26,1.3,1.3,1.9,3.1,0.11,0.16,0.27,0.11,0.27,Matches
1086,Luuk de Jong\abb3bb95,nl NED,FW,Barcelona,es La Liga,31-113,1990,8,3,320,3.6,1,0,1,0,0,0,0,0.28,0.00,0.28,0.28,0.28,1.4,1.4,0.2,1.6,0.39,0.06,0.45,0.39,0.45,Matches
1087,Joan Jordán\2a0c8ba4,es ESP,MF,Sevilla,es La Liga,27-165,1994,16,13,1055,11.7,0,1,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,0.5,0.5,0.8,1.3,0.04,0.07,0.11,0.04,0.11,Matches
1088,Kaio Jorge\0cf465f2,br BRA,MFFW,Juventus,it Serie A,19-328,2002,7,0,113,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.0,0.9,0.69,0.02,0.71,0.69,0.71,Matches
1089,Jorginho\45db685d,it ITA,MF,Chelsea,eng Premier League,29-363,1991,15,13,1173,13.0,4,1,0,4,4,3,0,0.31,0.08,0.38,0.00,0.08,3.3,0.3,1.7,2.0,0.25,0.13,0.38,0.02,0.15,Matches
1090,Josan\5b28b2f6,es ESP,DFMF,Elche,es La Liga,32-015,1989,11,5,513,5.7,1,1,1,0,0,1,0,0.18,0.18,0.35,0.18,0.35,0.6,0.6,0.8,1.5,0.11,0.14,0.26,0.11,0.26,Matches
1091,Willian José\d87e2cae,br BRA,FW,Betis,es La Liga,30-025,1991,14,11,884,9.8,6,4,4,2,2,1,0,0.61,0.41,1.02,0.41,0.81,4.1,2.6,2.2,4.8,0.42,0.23,0.65,0.26,0.49,Matches
1092,Joselu\6265208f,es ESP,FW,Alavés,es La Liga,31-266,1990,16,14,1309,14.5,8,1,4,4,4,0,0,0.55,0.07,0.62,0.28,0.34,5.8,2.8,1.8,4.6,0.40,0.12,0.52,0.19,0.32,Matches
1093,Josema\ed3f5f4c,es ESP,DF,Elche,es La Liga,25-195,1996,4,1,161,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.06,0.06,0.00,0.06,Matches
1094,Lenny Joseph\d1828392,fr FRA,FWMF,Metz,fr Ligue 1,21-067,2000,3,0,59,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
1095,Diogo Jota\178ae8f8,pt POR,FW,Liverpool,eng Premier League,25-014,1996,16,13,1125,12.5,9,1,9,0,0,1,0,0.72,0.08,0.80,0.72,0.80,10.0,10.0,3.1,13.1,0.80,0.25,1.05,0.80,1.05,Matches
1096,Stevan Jovetić\f36c432f,me MNE,FWMF,Hertha BSC,de Bundesliga,32-046,1989,10,7,543,6.0,5,0,5,0,0,0,0,0.83,0.00,0.83,0.83,0.83,2.5,2.5,1.0,3.6,0.42,0.17,0.59,0.42,0.59,Matches
1097,Luka Jović\4d8cd038,rs SRB,FW,Real Madrid,es La Liga,23-360,1997,8,0,195,2.2,1,2,1,0,0,0,0,0.46,0.92,1.38,0.46,1.38,0.7,0.7,0.8,1.5,0.33,0.37,0.70,0.33,0.70,Matches
1098,Miguel Juan Llambrich\d83f09ff,es ESP,DF,Espanyol,es La Liga,25-334,1996,2,1,70,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
1099,José Juan Macías\1f1c8a15,mx MEX,FWMF,Getafe,es La Liga,22-087,1999,7,2,201,2.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.08,0.00,0.08,0.08,0.08,Matches
1100,Juanmi\84399660,es ESP,FW,Betis,es La Liga,28-212,1993,15,11,891,9.9,10,1,10,0,0,3,0,1.01,0.10,1.11,1.01,1.11,5.0,5.0,0.7,5.7,0.50,0.07,0.58,0.50,0.58,Matches
1101,Gideon Jung\a2e7de6f,de GER,DF,Greuther Fürth,de Bundesliga,27-097,1994,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
1102,Flavio Junior Bianchi\3ef965c1,it ITA,FWMF,Genoa,it Serie A,21-328,2000,7,4,314,3.5,1,0,1,0,0,0,0,0.29,0.00,0.29,0.29,0.29,0.9,0.9,0.1,1.0,0.26,0.03,0.29,0.26,0.29,Matches
