,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
226,Mouez Hassen\fd481f3f,GK,tn Tunisia,23,1995,1,1,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
227,Motaz Hawsawi\2d370b86,DF,sa Saudi Arabia,26,1992,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
228,Omar Hawsawi\6caca8e5,DF,sa Saudi Arabia,32,1985,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
229,Osama Hawsawi\af5c59c3,DF,sa Saudi Arabia,34,1984,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
230,Eden Hazard\a39bb753,FWMF,be Belgium,27,1991,6,6,517,5.7,3,2,2,1,1,1,0,0.52,0.35,0.87,0.35,0.70,3.1,2.4,0.9,3.2,0.54,0.15,0.70,0.41,0.57,Matches
231,Thorgan Hazard\50871bcc,MFFW,be Belgium,25,1993,2,1,98,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.4,0.12,0.22,0.34,0.12,0.34,Matches
232,Jonas Hector\c2009df3,DF,de Germany,28,1990,2,2,163,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.08,0.06,0.13,0.08,0.13,Matches
233,Hwang Hee-chan\169fd162,FW,kr Korea Republic,22,1996,3,2,203,2.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.08,0.08,0.16,0.08,0.16,Matches
234,Ahmed Hegazi\5540c9dc,DF,eg Egypt,27,1991,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
235,Jordan Henderson\935e6b8f,MF,eng England,27,1990,5,5,480,5.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.01,0.03,0.02,0.03,Matches
236,Javier Hernández\189cee7b,FW,mx Mexico,30,1988,4,4,329,3.7,1,1,1,0,0,0,0,0.27,0.27,0.55,0.27,0.55,0.5,0.5,0.3,0.8,0.13,0.09,0.22,0.13,0.22,Matches
237,Lucas Hernández\c3ee18ef,DF,fr France,22,1996,7,7,589,6.5,0,2,0,0,0,2,0,0.00,0.31,0.31,0.00,0.31,0.3,0.3,0.2,0.6,0.05,0.04,0.08,0.05,0.08,Matches
238,Héctor Herrera\a8542814,MF,mx Mexico,28,1990,4,4,360,4.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.04,0.07,0.11,0.04,0.11,Matches
239,Son Heung-min\92e7e919,FW,kr Korea Republic,25,1992,3,3,270,3.0,2,0,2,0,0,1,0,0.67,0.00,0.67,0.67,0.67,1.7,1.7,0.3,2.0,0.56,0.11,0.68,0.56,0.68,Matches
240,Gonzalo Higuaín\8a08491a,FW,ar Argentina,30,1987,3,1,134,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.6,0.31,0.12,0.43,0.31,0.43,Matches
241,Oscar Hiljemark\98e958af,MF,se Sweden,25,1992,2,0,31,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
242,Keisuke Honda\5cfc82a1,MFFW,jp Japan,32,1986,3,0,50,0.6,1,1,1,0,0,0,0,1.80,1.80,3.60,1.80,3.60,0.8,0.8,0.2,1.0,1.41,0.42,1.83,1.41,1.83,Matches
243,Majid Hosseini\d2161bae,DF,ir Iran,21,1996,3,2,191,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
244,Mats Hummels\05d548d8,DF,de Germany,29,1988,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.52,0.00,0.52,0.52,0.52,Matches
245,Paolo Hurtado\10d58a78,MF,pe Peru,27,1990,1,0,28,0.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
246,Jang Hyun-soo\d0f6a36d,DFMF,kr Korea Republic,26,1991,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
247,Cho Hyun-woo\c75a3145,GK,kr Korea Republic,26,1991,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
248,Brian Idowu\8387afe6,DFMF,ng Nigeria,26,1992,3,3,225,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.05,0.05,0.00,0.05,Matches
249,Odion Ighalo\03622183,FW,ng Nigeria,28,1989,3,1,122,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.33,0.07,0.40,0.33,0.40,Matches
250,Sergei Ignashevich\04f2ed4d,DF,ru Russia,38,1979,5,5,510,5.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.06,0.00,0.06,0.06,0.06,Matches
251,Kelechi Iheanacho\c92e1a31,FW,ng Nigeria,21,1996,3,2,148,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.09,0.16,0.25,0.09,0.25,Matches
252,Sverrir Ingi Ingason\3c93b9f0,DF,is Iceland,24,1993,2,1,116,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.14,0.00,0.14,0.14,0.14,Matches
253,Arnór Ingvi Traustason\7d036b4a,FW,is Iceland,25,1993,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
254,Andrés Iniesta\cfd65a29,MF,es Spain,34,1984,4,3,283,3.1,0,1,0,0,0,0,0,0.00,0.32,0.32,0.00,0.32,0.3,0.3,1.1,1.4,0.09,0.35,0.45,0.09,0.45,Matches
255,Takashi Inui\61bd33d0,FWMF,jp Japan,30,1988,4,3,292,3.2,2,1,2,0,0,1,0,0.62,0.31,0.92,0.62,0.92,0.6,0.6,0.6,1.2,0.18,0.19,0.36,0.18,0.36,Matches
256,Jackson Irvine\4637747c,MFFW,au Australia,25,1993,3,0,47,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.14,0.14,0.00,0.14,Matches
257,Isco\a0b4bb3e,MFFW,es Spain,26,1992,4,4,390,4.3,1,0,1,0,0,0,0,0.23,0.00,0.23,0.23,0.23,0.9,0.9,0.7,1.5,0.20,0.16,0.36,0.20,0.36,Matches
258,Branislav Ivanović\85f8571a,DF,rs Serbia,34,1984,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.07,0.07,0.00,0.07,Matches
259,Alex Iwobi\6ca5ec4b,MF,ng Nigeria,22,1996,3,1,63,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.17,0.03,0.20,0.17,0.20,Matches
260,José Izquierdo\ca2bc3df,MFFW,co Colombia,25,1992,1,1,69,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
261,Koo Ja-cheol\3c05e082,MFFW,kr Korea Republic,29,1989,2,2,126,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Matches
262,Lee Jae-sung\34b0387f,MF,kr Korea Republic,25,1992,3,3,270,3.0,0,1,0,0,0,1,0,0.00,0.33,0.33,0.00,0.33,0.2,0.2,0.1,0.3,0.07,0.04,0.12,0.07,0.12,Matches
263,Alireza Jahanbakhsh\08452314,MFFW,ir Iran,24,1993,3,2,170,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.3,0.06,0.07,0.14,0.06,0.14,Matches
264,Pontus Jansson\172e52d8,DF,se Sweden,27,1991,2,1,96,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.06,0.07,0.13,0.06,0.13,Matches
265,Adnan Januzaj\4737cebe,FW,be Belgium,23,1995,1,1,85,0.9,1,0,1,0,0,0,0,1.06,0.00,1.06,1.06,1.06,0.1,0.1,0.0,0.1,0.11,0.03,0.14,0.11,0.14,Matches
266,Taisir Al-Jassim\ef5c4d7d,MF,sa Saudi Arabia,33,1984,2,2,133,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches
267,Mile Jedinak\22fd2214,MF,au Australia,33,1984,3,3,270,3.0,2,0,0,2,2,1,0,0.67,0.00,0.67,0.00,0.00,1.9,0.3,0.0,0.3,0.62,0.00,0.62,0.11,0.11,Matches
268,Artur Jędrzejczyk\d1943c8b,DF,pl Poland,30,1987,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.04,0.03,0.07,0.04,0.07,Matches
269,Tin Jedvaj\f820504e,DF,hr Croatia,22,1995,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
270,Gabriel Jesus\b66315ae,FW,br Brazil,21,1997,5,5,404,4.5,0,1,0,0,0,0,0,0.00,0.22,0.22,0.00,0.22,1.3,1.3,0.3,1.6,0.29,0.06,0.35,0.29,0.35,Matches
271,Raúl Jiménez\b561db50,FWMF,mx Mexico,27,1991,2,0,56,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.13,0.06,0.19,0.13,0.19,Matches
272,Phil Jones\def899bd,DF,eng England,26,1992,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
273,Park Joo-ho\502fd802,DF,kr Korea Republic,31,1987,1,1,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
274,Luka Jović\4d8cd038,FW,rs Serbia,20,1997,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
275,Tomi Juric\04656087,FW,au Australia,26,1991,3,1,95,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
276,Mathias Jørgensen\0db5d2c8,DF,dk Denmark,28,1990,3,2,220,2.4,1,0,1,0,0,2,0,0.41,0.00,0.41,0.41,0.41,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,Matches
277,Nicolai Jørgensen\dff19848,FW,dk Denmark,27,1991,3,2,212,2.4,0,1,0,0,0,0,0,0.00,0.42,0.42,0.00,0.42,0.5,0.5,0.7,1.2,0.22,0.29,0.51,0.22,0.51,Matches
278,Ayoub El Kaabi\b1bfd1d4,FW,ma Morocco,24,1993,2,1,98,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.09,0.00,0.09,0.09,0.09,Matches
279,Shinji Kagawa\5afafbfe,MF,jp Japan,29,1989,3,3,230,2.6,1,1,0,1,1,0,0,0.39,0.39,0.78,0.00,0.39,0.8,0.2,0.6,0.8,0.32,0.24,0.56,0.07,0.31,Matches
280,Kahraba\39f6a408,FW,eg Egypt,24,1994,3,0,47,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
281,Lovre Kalinić\3a74f92b,GK,hr Croatia,28,1990,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
282,Harry Kane\21a66f6a,FW,eng England,24,1993,6,6,572,6.4,6,0,3,3,3,0,0,0.94,0.00,0.94,0.47,0.47,3.6,1.3,0.5,1.8,0.56,0.08,0.64,0.20,0.28,Matches
283,Mohamed Kanno\74ccf212,FW,sa Saudi Arabia,23,1994,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.22,0.00,0.22,0.22,0.22,Matches
284,N'Golo Kanté\b9fbae28,MF,fr France,27,1991,7,7,593,6.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.00,0.00,0.01,0.00,0.01,Matches
285,Eiji Kawashima\a4527d33,GK,jp Japan,35,1983,4,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
286,Saber Khalifa\05174d9e,FW,tn Tunisia,31,1986,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
287,Ahmed Khalil\3e79f465,MF,tn Tunisia,23,1994,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
288,Saîf-Eddine Khaoui\796b1c41,MF,tn Tunisia,23,1995,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches
289,Wahbi Khazri\2677a1de,FW,tn Tunisia,27,1991,3,3,262,2.9,2,2,2,0,0,0,0,0.69,0.69,1.37,0.69,1.37,1.8,1.8,0.9,2.6,0.61,0.30,0.91,0.61,0.91,Matches
290,Sami Khedira\38ac43d3,MF,de Germany,31,1987,2,2,116,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.07,0.01,0.08,0.07,0.08,Matches
291,Isaac Kiese Thelin\b956af7d,FW,se Sweden,25,1992,4,0,39,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
292,Joshua Kimmich\49296448,DF,de Germany,23,1995,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.3,1.4,0.05,0.43,0.48,0.05,0.48,Matches
293,Presnel Kimpembe\aef6e670,DF,fr France,22,1995,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
294,Simon Kjær\8b8a56ce,DF,dk Denmark,29,1989,4,4,390,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,Matches
295,Jonas Knudsen\ec48abb1,DF,dk Denmark,25,1992,1,1,120,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
296,Koke\55126f3b,MF,es Spain,26,1992,3,2,230,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.04,0.04,0.00,0.04,Matches
297,Aleksandar Kolarov\eda40760,DF,rs Serbia,32,1985,3,3,270,3.0,1,0,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,0.0,0.0,0.1,0.1,0.01,0.03,0.04,0.01,0.04,Matches
298,Vincent Kompany\d2bff301,DF,be Belgium,32,1986,5,4,377,4.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.11,0.00,0.12,0.11,0.12,Matches
299,Moussa Konaté\fcbcbd94,FW,sn Senegal,25,1993,2,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
300,Filip Kostić\b1cd37e6,FWMF,rs Serbia,25,1992,3,2,165,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.57,0.00,0.57,0.57,0.57,Matches
301,Kalidou Koulibaly\da974c7b,DF,sn Senegal,26,1991,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
302,Cheikhou Kouyaté\8d3c902d,MF,sn Senegal,28,1989,3,1,121,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
303,Mateo Kovačić\79c0821a,MFFW,hr Croatia,24,1994,5,1,185,2.1,0,1,0,0,0,0,0,0.00,0.49,0.49,0.00,0.49,0.3,0.3,0.7,1.0,0.14,0.35,0.48,0.14,0.48,Matches
304,Dawid Kownacki\be5e1c4c,FW,pl Poland,21,1997,2,1,74,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.09,0.02,0.11,0.09,0.11,Matches
305,Emil Krafth\77cf6852,DF,se Sweden,23,1994,2,1,93,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
306,Andrej Kramarić\603cb947,MFFW,hr Croatia,26,1991,7,3,334,3.7,1,0,1,0,0,0,0,0.27,0.00,0.27,0.27,0.27,0.7,0.7,0.4,1.1,0.18,0.12,0.30,0.18,0.30,Matches
307,Michael Krohn-Dehli\1c8dc17d,MF,dk Denmark,35,1983,1,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.13,0.13,0.00,0.13,Matches
308,Toni Kroos\6ce1f46f,MF,de Germany,28,1990,3,3,270,3.0,1,0,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,0.7,0.7,0.4,1.1,0.24,0.12,0.36,0.24,0.36,Matches
309,Robbie Kruse\9571ca99,MFFW,au Australia,29,1988,3,3,207,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,Matches
310,Grzegorz Krychowiak\580d52dd,MF,pl Poland,28,1990,3,3,270,3.0,1,0,1,0,0,1,0,0.33,0.00,0.33,0.33,0.33,0.5,0.5,0.1,0.6,0.17,0.05,0.21,0.17,0.21,Matches
311,Fyodor Kudryashov\ae2d3552,DFMF,ru Russia,31,1987,4,3,335,3.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
312,Rafał Kurzawa\3d3b0206,FW,pl Poland,25,1993,1,1,79,0.9,0,1,0,0,0,0,0,0.00,1.14,1.14,0.00,1.14,0.1,0.1,0.2,0.3,0.09,0.20,0.29,0.09,0.29,Matches
313,Ilya Kutepov\ef8cafeb,DF,ru Russia,24,1993,5,5,510,5.7,0,1,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,0.2,0.2,0.2,0.5,0.04,0.04,0.08,0.04,0.08,Matches
314,Daler Kuzyaev\d4e93bab,MF,ru Russia,25,1993,5,2,305,3.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.02,0.03,0.01,0.03,Matches
315,William Kvist\1c639185,MF,dk Denmark,33,1985,1,1,34,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
316,Michael Lang\864db10a,DF,ch Switzerland,27,1991,3,1,103,1.1,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
317,Seb Larsson\b26efc36,MF,se Sweden,33,1985,4,4,316,3.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.05,0.05,0.00,0.05,Matches
318,Diego Laxalt\f26e3c59,DFFW,uy Uruguay,25,1993,4,3,302,3.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.00,0.04,0.05,0.00,0.05,Matches
319,Miguel Layún\ad6295d4,FWDF,mx Mexico,29,1988,4,3,313,3.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.12,0.06,0.18,0.12,0.18,Matches
320,Mathew Leckie\b93b7882,MFFW,au Australia,27,1991,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.7,0.19,0.04,0.23,0.19,0.23,Matches
321,Thomas Lemar\4dbd0916,FW,fr France,22,1995,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.02,0.09,0.11,0.02,0.11,Matches
322,Lukas Lerager\1b82f8df,MF,dk Denmark,24,1993,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
323,Jefferson Lerma\9b5ce51a,MF,co Colombia,23,1994,4,2,176,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.03,0.03,0.06,0.03,0.06,Matches
324,Robert Lewandowski\8d78e732,FW,pl Poland,29,1988,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.1,1.2,0.37,0.02,0.39,0.37,0.39,Matches
325,Stephan Lichtsteiner\99b1d0e6,DF,ch Switzerland,34,1984,3,3,266,3.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
326,Victor Lindelöf\f5deef4c,DF,se Sweden,23,1994,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
327,Jesse Lingard\810e3c74,MF,eng England,25,1992,6,5,526,5.8,1,1,1,0,0,1,0,0.17,0.17,0.34,0.17,0.34,1.6,1.6,0.3,1.9,0.28,0.05,0.32,0.28,0.32,Matches
328,Adem Ljajić\2648e18f,MF,rs Serbia,26,1991,3,2,170,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.02,0.10,0.11,0.02,0.11,Matches
329,Hugo Lloris\8f62b6ee,GK,fr France,31,1986,6,6,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
330,Ruben Loftus-Cheek\e97fd090,MF,eng England,22,1996,4,3,274,3.0,0,1,0,0,0,1,0,0.00,0.33,0.33,0.00,0.33,0.2,0.2,0.0,0.2,0.05,0.01,0.06,0.05,0.06,Matches
331,Dejan Lovren\1a2935f6,DF,hr Croatia,28,1989,7,6,651,7.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.04,0.02,0.05,0.04,0.05,Matches
332,Hirving Lozano\a69e4806,FW,mx Mexico,22,1995,4,4,315,3.5,1,1,1,0,0,0,0,0.29,0.29,0.57,0.29,0.57,0.9,0.9,0.5,1.4,0.25,0.15,0.40,0.25,0.40,Matches
333,José Luis Rodríguez\b333b014,FW,pa Panama,19,1998,3,3,242,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.04,0.00,0.04,0.04,0.04,Matches
334,Filipe Luís\e4ed2628,DF,br Brazil,32,1985,2,1,171,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.01,0.10,0.11,0.01,0.11,Matches
335,Romelu Lukaku\5eae500a,FW,be Belgium,25,1993,6,6,473,5.3,4,1,4,0,0,0,0,0.76,0.19,0.95,0.76,0.95,2.6,2.6,0.4,2.9,0.49,0.07,0.56,0.49,0.56,Matches
336,Mikael Lustig\54c9ed15,DF,se Sweden,31,1986,4,4,351,3.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.7,0.8,0.01,0.19,0.19,0.01,0.19,Matches
337,Ali Maâloul\c69ff23a,DF,tn Tunisia,28,1990,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.5,0.00,0.24,0.24,0.00,0.24,Matches
338,Adolfo Machado\fc29a3a8,DF,pa Panama,33,1985,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
339,Hörður Magnússon\526541e5,DF,is Iceland,25,1993,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,Matches
340,Harry Maguire\d8931174,DF,eng England,25,1993,7,6,645,7.2,1,1,1,0,0,2,0,0.14,0.14,0.28,0.14,0.28,0.4,0.4,0.6,1.0,0.06,0.08,0.14,0.06,0.14,Matches
341,Tomoaki Makino\2b0b6462,DF,jp Japan,31,1987,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.16,0.00,0.16,0.16,0.16,Matches
