,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
46,Éver Banega\fa937f7a,MF,ar Argentina,29,1988,3,2,217,2.4,0,2,0,0,0,2,0,0.00,0.83,0.83,0.00,0.83,0.1,0.1,0.4,0.4,0.03,0.15,0.18,0.03,0.18,Matches
47,Wílmar Barrios\8e7f49d3,MFFW,co Colombia,24,1993,3,2,270,3.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
48,Michy Batshuayi\2973d8ff,FW,be Belgium,24,1993,3,1,114,1.3,1,0,1,0,0,0,0,0.79,0.00,0.79,0.79,0.79,2.4,2.4,0.0,2.4,1.89,0.04,1.93,1.89,1.93,Matches
49,Jan Bednarek\4115ce4e,DF,pl Poland,22,1996,3,2,225,2.5,1,0,1,0,0,1,0,0.40,0.00,0.40,0.40,0.40,0.1,0.1,0.0,0.1,0.05,0.00,0.05,0.05,0.05,Matches
50,Rami Bedoui\bc844eb7,DF,tn Tunisia,28,1990,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
51,Aziz Behich\b6867b96,DF,au Australia,27,1990,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.03,0.06,0.09,0.03,0.09,Matches
52,Valon Behrami\d3d758d8,MF,ch Switzerland,33,1985,4,4,308,3.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
53,Alireza Beiranvand\6ca0b04a,GK,ir Iran,25,1992,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
54,Younès Belhanda\e204ec12,MF,ma Morocco,28,1990,3,3,226,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.7,0.24,0.04,0.28,0.24,0.28,Matches
55,Farouk Ben Mustapha\7b3c3cdf,GK,tn Tunisia,28,1989,2,1,165,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
56,Fakhreddine Ben Youssef\ca6f10e6,MFFW,tn Tunisia,26,1991,3,3,270,3.0,1,0,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,1.2,1.2,0.2,1.4,0.42,0.06,0.48,0.42,0.48,Matches
57,Syam Ben Youssef\2293f5df,DF,tn Tunisia,29,1989,2,2,130,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
58,Yohan Benalouane\8309b068,DF,tn Tunisia,31,1987,1,0,50,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
59,Medhi Benatia\3b15ef2d,DF,ma Morocco,31,1987,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.26,0.00,0.26,0.26,0.26,Matches
60,Rodrigo Bentancur\3b8674e6,MF,uy Uruguay,21,1997,5,5,362,4.0,0,1,0,0,0,2,0,0.00,0.25,0.25,0.00,0.25,0.5,0.5,0.1,0.6,0.11,0.02,0.14,0.11,0.14,Matches
61,Bartosz Bereszyński\61b3978f,DFMF,pl Poland,25,1992,3,2,169,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.01,0.15,0.15,0.01,0.15,Matches
62,Jóhann Berg Guðmundsson\f72293fc,FWMF,is Iceland,27,1990,2,2,152,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.04,0.04,0.09,0.04,0.09,Matches
63,Marcus Berg\b39bf63f,FW,se Sweden,31,1986,5,5,425,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,2.3,2.3,0.4,2.8,0.49,0.09,0.58,0.49,0.58,Matches
64,Lucas Biglia\5710a281,MF,ar Argentina,32,1986,1,1,53,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.15,0.00,0.15,0.15,0.15,Matches
65,Mame Biram Diouf\7f4f3e49,FW,sn Senegal,30,1987,2,1,66,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.20,0.00,0.20,0.20,0.20,Matches
66,Birkir Bjarnason\da13074e,MFFW,is Iceland,30,1988,3,3,269,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.7,0.20,0.02,0.22,0.20,0.22,Matches
67,Jérôme Boateng\2db2fd7b,DF,de Germany,29,1988,2,2,171,1.9,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.03,0.06,0.09,0.03,0.09,Matches
68,Christian Bolaños\da2911c4,FW,cr Costa Rica,34,1984,2,0,68,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches
69,Celso Borges\b8836910,MF,cr Costa Rica,30,1988,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.10,0.05,0.15,0.10,0.15,Matches
70,Miguel Borja\211dc5fd,FW,co Colombia,25,1993,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
71,Aziz Bouhaddouz\2c143d6c,FW,ma Morocco,31,1987,2,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.17,0.17,0.00,0.17,Matches
72,M'barek Boussoufa\da17c670,MF,ma Morocco,33,1984,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.04,0.02,0.06,0.04,0.06,Matches
73,Khalid Boutaïb\6074b849,FW,ma Morocco,31,1987,2,2,139,1.5,1,0,1,0,0,0,0,0.65,0.00,0.65,0.65,0.65,0.9,0.9,0.0,0.9,0.57,0.02,0.59,0.57,0.59,Matches
74,Dedryck Boyata\7c473e12,DF,be Belgium,27,1990,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches
75,Filip Bradarić\605873e1,MF,hr Croatia,26,1992,1,0,26,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
76,Martin Braithwaite\fd771f95,FWMF,dk Denmark,27,1991,4,2,251,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.15,0.00,0.15,0.15,0.15,Matches
77,Julian Brandt\a167537f,DFMF,de Germany,22,1996,3,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,1.22,0.00,1.22,1.22,1.22,Matches
78,Mohammed Al-Breik\bd448676,DF,sa Saudi Arabia,25,1992,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.06,0.00,0.06,0.06,0.06,Matches
79,Dylan Bronn\edd81e2a,DF,tn Tunisia,22,1995,2,2,113,1.3,1,0,1,0,0,0,0,0.80,0.00,0.80,0.80,0.80,0.1,0.1,0.0,0.2,0.11,0.02,0.13,0.11,0.13,Matches
80,Marcelo Brozović\33b8d077,MF,hr Croatia,25,1992,6,4,459,5.1,0,1,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,0.1,0.1,0.3,0.4,0.02,0.05,0.07,0.02,0.07,Matches
81,Ali Al-Bulaihi\8d7b2936,DF,sa Saudi Arabia,28,1989,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
82,Sergio Busquets\5ab0ea87,MF,es Spain,29,1988,4,4,390,4.3,0,1,0,0,0,1,0,0.00,0.23,0.23,0.00,0.23,0.3,0.3,1.1,1.4,0.07,0.25,0.32,0.07,0.32,Matches
83,Jakub Błaszczykowski\2b350e6b,FW,pl Poland,32,1985,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
84,Willy Caballero\a179d516,GK,ar Argentina,36,1981,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
85,Martín Cáceres\e94d79e3,DF,uy Uruguay,31,1987,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.2,1.0,0.16,0.04,0.19,0.16,0.19,Matches
86,Gary Cahill\7914b9fe,DF,eng England,32,1985,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
87,Tim Cahill\e5a2dfc2,FW,au Australia,38,1979,1,0,38,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.35,0.00,0.35,0.35,0.35,Matches
88,Duje Ćaleta-Car\94f8d10c,DF,hr Croatia,21,1996,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
89,Francisco Calvo\706bd23f,DF,cr Costa Rica,25,1992,2,1,106,1.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches
90,Joel Campbell\895ff3ca,FW,cr Costa Rica,25,1992,2,1,115,1.3,0,1,0,0,0,1,0,0.00,0.78,0.78,0.00,0.78,0.2,0.2,0.3,0.4,0.12,0.20,0.32,0.12,0.32,Matches
91,Mehdi Carcela\dc415e39,FW,ma Morocco,28,1989,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
92,Yannick Carrasco\de39485a,DFMF,be Belgium,24,1993,4,3,238,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.10,0.09,0.18,0.10,0.18,Matches
93,André Carrillo\7527558b,FWMF,pe Peru,27,1991,3,3,258,2.9,1,0,1,0,0,0,0,0.35,0.00,0.35,0.35,0.35,0.1,0.1,0.5,0.6,0.03,0.18,0.21,0.03,0.21,Matches
94,Wilder Cartagena\9f0f5d15,MF,pe Peru,23,1994,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
95,Dani Carvajal\4958bfb2,DF,es Spain,26,1992,3,2,231,2.6,0,1,0,0,0,0,0,0.00,0.39,0.39,0.00,0.39,0.1,0.1,0.6,0.7,0.06,0.23,0.29,0.06,0.29,Matches
96,William Carvalho\dee86451,MF,pt Portugal,26,1992,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,Matches
97,Casemiro\4d224fe8,MF,br Brazil,26,1992,4,4,329,3.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.04,0.03,0.08,0.04,0.08,Matches
