,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
74,Ermin Bičakčić\7aac47fe,DF,ba Bosnia and Herzegovina,24,1990,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
75,Lucas Biglia\5710a281,MF,ar Argentina,28,1986,7,3,351,3.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
76,Daley Blind\691bef82,DFMF,nl Netherlands,24,1990,7,7,669,7.4,1,3,1,0,0,1,0,0.13,0.40,0.54,0.13,0.54,Matches
77,Kim Bo-kyung\587ddfd6,MF,kr Korea Republic,24,1989,2,0,32,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
78,Jérôme Boateng\2db2fd7b,DF,de Germany,25,1988,7,7,645,7.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
79,Kevin-Prince Boateng\f4ec4fd0,FWMF,gh Ghana,27,1987,2,1,83,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
80,Arthur Boka\3abb0642,DF,ci Côte d'Ivoire,31,1983,3,3,254,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
81,Christian Bolaños\da2911c4,MF,cr Costa Rica,30,1984,5,4,412,4.6,0,2,0,0,0,0,0,0.00,0.44,0.44,0.00,0.44,Matches
82,Mathis Bolly\e9895d1c,FWMF,ci Côte d'Ivoire,23,1990,1,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
83,Leonardo Bonucci\52ec54d0,DF,it Italy,27,1987,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
84,Wilfried Bony\61abe9b6,FW,ci Côte d'Ivoire,25,1988,3,2,166,1.8,2,0,2,0,0,0,0,1.08,0.00,1.08,1.08,1.08,Matches
85,Celso Borges\b8836910,FWMF,cr Costa Rica,26,1988,5,5,497,5.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
86,Madjid Bougherra\5050cc14,DF,dz Algeria,31,1982,3,2,202,2.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
87,John Boye\861227d2,DF,gh Ghana,27,1987,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
88,Oliver Bozanic\b3e61f31,MF,au Australia,25,1989,2,1,111,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
89,Michael Bradley\fd5e3a73,MF,us United States,26,1987,4,4,390,4.3,0,1,0,0,0,0,0,0.00,0.23,0.23,0.00,0.23,Matches
90,Yacine Brahimi\56b5d64e,FWMF,dz Algeria,24,1990,3,2,189,2.1,1,1,1,0,0,0,0,0.48,0.48,0.95,0.48,0.95,Matches
91,Claudio Bravo\10072610,GK,cl Chile,31,1983,4,4,390,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
92,Randall Brenes\cde46097,FW,cr Costa Rica,30,1983,3,1,106,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
93,Mark Bresciano\cb20f13a,MF,au Australia,34,1980,3,2,146,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
94,John Brooks\e27da244,DF,us United States,21,1993,1,0,45,0.5,1,0,1,0,0,0,0,2.00,0.00,2.00,2.00,2.00,Matches
95,Marcelo Brozović\33b8d077,MF,hr Croatia,21,1992,1,0,30,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
96,Gianluigi Buffon\e40d028b,GK,it Italy,36,1978,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
97,Sergio Busquets\5ab0ea87,MF,es Spain,25,1988,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
98,Yohan Cabaye\ad7b19ef,MF,fr France,28,1986,4,4,316,3.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
99,Martín Cáceres\e94d79e3,DF,uy Uruguay,27,1987,4,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
100,Gary Cahill\7914b9fe,DF,eng England,28,1985,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
101,Tim Cahill\e5a2dfc2,FWMF,au Australia,34,1979,2,2,158,1.8,2,0,2,0,0,2,0,1.14,0.00,1.14,1.14,1.14,Matches
102,Felipe Caicedo\93b891d1,FWMF,ec Ecuador,25,1988,3,2,151,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
103,Geoff Cameron\1a160ea3,DFMF,us United States,28,1985,3,3,300,3.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
104,Hugo Campagnaro\2ac01901,DF,ar Argentina,33,1980,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
